import time: self [us] | cumulative | imported package
import time:       538 |        538 |             pyomo.core.base.set_types
import time:       728 |       1266 |           pyomo.core.base.sos
import time:       641 |        641 |                       pyomo.opt.base.opt_config
import time:       559 |        559 |                       pyomo.opt.base.error
import time:       882 |        882 |                         pyomo.opt.base.formats
import time:       531 |       1413 |                       pyomo.opt.base.convert
import time:       527 |        527 |                         pyomo.opt.base.results
import time:       752 |       1278 |                       pyomo.opt.base.solvers
import time:       538 |        538 |                       pyomo.opt.base.problem
import time:       818 |       5245 |                     pyomo.opt.base
import time:        26 |       5270 |                   pyomo.opt.base.opt_config
import time:       506 |        506 |                       pyomo.common.backports
import time:      1108 |       1108 |                         tempfile
import time:       962 |        962 |                               pyutilib
import time:        26 |        987 |                             pyutilib.component
import time:        17 |       1004 |                           pyutilib.component.config
import time:        28 |       1031 |                         pyutilib.component.config.tempfiles
import time:       628 |       2766 |                       pyomo.common.tempfiles
import time:      2360 |       2360 |                         win32pipe
import time:      2597 |       2597 |                         win32file
import time:       629 |       5586 |                       pyomo.common.tee
import time:      1036 |       1036 |                         pyomo.opt.results.container
import time:       659 |        659 |                         pyomo.opt.results.problem
import time:      1302 |       1302 |                         pyomo.opt.results.solver
import time:       922 |        922 |                         pyomo.opt.results.solution
import time:       737 |        737 |                         pyomo.opt.results.results_
import time:       715 |       5370 |                       pyomo.opt.results
import time:       789 |      15016 |                     pyomo.opt.solver.shellcmd
import time:       605 |        605 |                     pyomo.opt.solver.ilmcmd
import time:       612 |      16232 |                   pyomo.opt.solver
import time:       808 |        808 |                     pyomo.opt.problem.ampl
import time:       635 |       1443 |                   pyomo.opt.problem
import time:       714 |        714 |                       pyomo.opt.parallel.manager
import time:       700 |       1414 |                     pyomo.opt.parallel.async_solver
import time:       554 |        554 |                     pyomo.opt.parallel.local
import time:       633 |       2600 |                   pyomo.opt.parallel
import time:       651 |      26194 |                 pyomo.opt
import time:        25 |      26218 |               pyomo.opt.base
import time:      1265 |      27483 |             pyomo.core.base.block
import time:      1862 |      29345 |           pyomo.core.base.piecewise
import time:       881 |        881 |           pyomo.core.base.suffix
import time:      1068 |       1068 |           pyomo.core.base.external
import time:       543 |        543 |           pyomo.core.base.symbol_map
import time:       128 |        128 |             gc
import time:       528 |        528 |             pyomo.common.gc_manager
import time:      1245 |       1245 |                   ply.yacc
import time:       710 |       1955 |                 pyomo.dataportal.parse_datacmds
import time:       904 |        904 |                       pyomo.common.plugin
import time:       558 |       1461 |                     pyomo.dataportal.factory
import time:      1089 |       2550 |                   pyomo.dataportal.process_data
import time:       729 |       3278 |                 pyomo.dataportal.TableData
import time:       612 |        612 |                 pyomo.dataportal.DataPortal
import time:       562 |       6406 |               pyomo.dataportal
import time:        30 |       6435 |             pyomo.dataportal.DataPortal
import time:      1076 |       8166 |           pyomo.core.base.PyomoModel
import time:       589 |        589 |           pyomo.core.base.instance2dat
import time:       833 |      80994 |         pyomo.core.base
import time:        26 |      81020 |       pyomo.core.base.var
import time:      1251 |      83266 |     pyomo.core.util
import time:       858 |        858 |         pyomo.core.plugins.transform.discrete_vars
import time:       686 |       1543 |       pyomo.core.plugins.transform.relax_integrality
import time:       544 |        544 |       pyomo.core.plugins.transform.expand_connectors
import time:       487 |        487 |         pyomo.core.plugins.transform.util
import time:       564 |        564 |         pyomo.core.plugins.transform.hierarchy
import time:       638 |       1687 |       pyomo.core.plugins.transform.nonnegative_transform
import time:       552 |        552 |       pyomo.core.plugins.transform.radix_linearization
import time:       577 |        577 |       pyomo.core.plugins.transform.add_slack_vars
import time:       516 |        516 |           pyomo.util
import time:       631 |       1146 |         pyomo.util.components
import time:       520 |       1666 |       pyomo.core.plugins.transform.scaling
import time:       490 |        490 |             pyomo.contrib
import time:       700 |       1190 |           pyomo.contrib.fbbt
import time:       636 |        636 |           pyomo.contrib.fbbt.interval
import time:      1925 |       1925 |             pyomo.gdp.disjunct
import time:       659 |       2583 |           pyomo.gdp
import time:      1106 |       5514 |         pyomo.contrib.fbbt.fbbt
import time:       818 |        818 |         pyomo.core.expr.cnf_walker
import time:       708 |       7039 |       pyomo.core.plugins.transform.logical_to_linear
import time:       882 |      14487 |     pyomo.core.plugins.transform
import time:       621 |        621 |               pyomo.scripting.interface
import time:       843 |       1464 |             pyomo.scripting.util
import time:       670 |       2133 |           pyomo.scripting.pyomo_command
import time:       553 |       2686 |         pyomo.scripting
import time:       554 |       3239 |       pyomo.scripting.pyomo_parser
import time:      4079 |       7318 |     pyomo.opt.plugins.driver
import time:       781 |        781 |     pyomo.opt.plugins.res
import time:       696 |        696 |     pyomo.opt.plugins.sol
import time:        91 |         91 |         _csv
import time:      1067 |       1157 |       csv
import time:       680 |       1837 |     pyomo.dataportal.plugins.csv_table
import time:       631 |        631 |     pyomo.dataportal.plugins.datacommands
import time:      1543 |       1543 |         _decimal
import time:       915 |       2457 |       decimal
import time:       830 |       3287 |     pyomo.dataportal.plugins.db_table
import time:       734 |        734 |     pyomo.dataportal.plugins.json_dict
import time:      1421 |       1421 |     pyomo.dataportal.plugins.text
import time:       575 |        575 |     pyomo.dataportal.plugins.xml_table
import time:       939 |        939 |             backports_abc
import time:      1560 |       2499 |           pyomo.repn.standard_repn
import time:       502 |        502 |           pyomo.repn.standard_aux
import time:       536 |       3536 |         pyomo.repn
import time:        25 |       3561 |       pyomo.repn.standard_repn
import time:       692 |       4252 |     pyomo.duality.collect
import time:       906 |        906 |     pyomo.checker.checker
import time:       502 |        502 |       pyomo.checker.script
